core diameter	qext	qext	qext	qext	qext	qext	qext	qext	qext	qext	qext	qext
nm	1/nm	1/nm	1/nm	1/nm	1/nm	1/nm	1/nm	1/nm	1/nm	1/nm	1/nm	1/nm
	0	2	5	7	10	20	30	60	120	180	240	300
-1.72	-0.00273145829999227	-3.90623805393401E-4	5.97992648750334E-5	-4.93682910155488E-4	7.57100540889992E-4	1.02117579804435E-4	8.44814298776312E-4	9.02942415056165E-4	8.051031170434E-4	8.53500812451801E-4	7.27432952651094E-4	8.47963106896255E-4
-0.831708719020139	-0.00275469954840242	-3.78378545036241E-4	8.73663018741624E-5	-4.8050749221699E-4	7.73351692827528E-4	1.40161384045303E-4	8.48457309982764E-4	9.58733411931619E-4	8.10351507636904E-4	8.57382714267076E-4	7.27432952651094E-4	8.47963106896255E-4
-0.829917931149717	-0.00267885968516932	-3.66378189886223E-4	1.18962367357779E-4	-4.72733995633277E-4	7.92243656954915E-4	1.7460103841072E-4	8.66490215454703E-4	9.79829382625149E-4	8.26227889182251E-4	8.57123920812724E-4	7.14999274765656E-4	8.68193327612665E-4
-0.828129538279784	-0.00255653732511592	-3.47030678521911E-4	1.49074053926059E-4	-4.63774711435099E-4	8.14588990869027E-4	1.94824323822971E-4	8.91444842218902E-4	9.6779944892388E-4	8.49452017558503E-4	8.59711855356241E-4	7.02565596880217E-4	8.85742434740153E-4
-0.826338166208675	-0.00247335812027961	-3.35642586389753E-4	1.7515671200985E-4	-4.6140313620617E-4	8.33074676197975E-4	1.9902916534433E-4	9.19131727387941E-4	9.51585190456951E-4	8.74250663112806E-4	8.68381436077022E-4	6.88499213817903E-4	9.0536331145908E-4
-0.824538431786064	-0.00243054529426093	-3.41275406154045E-4	1.98270612262966E-4	-4.63906465614485E-4	8.42622227961278E-4	1.97026859857969E-4	9.4827581703956E-4	9.55420821492139E-4	8.94194547368118E-4	8.81450505521781E-4	6.7945653899213E-4	9.31808840949808E-4
-0.822741108235416	-0.00236204477263103	-3.61235180536216E-4	2.20112187731506E-4	-4.67332074278493E-4	8.46888155344882E-4	2.00831240282055E-4	9.71773239321178E-4	9.7982938262515E-4	9.06397055498013E-4	8.93096210967606E-4	6.80335687933525E-4	9.66785186405288E-4
-0.820940794529897	-0.00225807076658564	-3.80337786693385E-4	2.38985005369371E-4	-4.72602241453893E-4	8.6009221629413E-4	2.16649453624311E-4	9.78148508932469E-4	0.00100877096225429	9.13876012093755E-4	9.02542172051442E-4	6.91136660642087E-4	0.0010074893654371
-0.819132080661118	-0.00217122189094773	-3.78378545036241E-4	2.50647982561311E-4	-4.8050749221699E-4	8.95235332359053E-4	2.46283574822461E-4	9.52283129366658E-4	0.00102847215802594	9.14007221858593E-4	9.13023306952685E-4	7.0231441146839E-4	0.00104295318609056
-0.81732579361543	-0.00213452518293171	-3.66133284679081E-4	2.57009606484187E-4	-4.93682910155488E-4	9.602399401092E-4	2.92336601008775E-4	9.28603556524717E-4	0.00103195909533065	9.14007221858593E-4	9.25962979670268E-4	7.27432952651094E-4	0.00106732694598985
-0.81551650544231	-0.00213941807733385	-3.4078559573976E-4	2.53616740391986E-4	-4.87885726262549E-4	0.00104880871816878	3.48801615724168E-4	8.9891301519213E-4	0.00102620564877787	9.09677299618953E-4	9.37349891661741E-4	7.55942496893462E-4	0.00107927008834051
-0.813698779176743	-0.00218345412695307	-3.02825288632564E-4	2.45134575161485E-4	-4.83010821625305E-4	0.00113554924163538	4.02863863855928E-4	8.90351938856967E-4	0.00101591918372896	8.95769064546169E-4	9.42525760748774E-4	7.90982861843334E-4	0.00107792953154604
-0.811883495765294	-0.00224828497778137	-2.57395372707501E-4	2.35380085146408E-4	-4.73788029068357E-4	0.00118877176423081	4.46113662361336E-4	9.08931296009874E-4	0.0010044122906234	8.7779332676342E-4	9.43172744384654E-4	8.23888150792675E-4	0.0010759796307541
-0.810065200235063	-0.002306999710607	-2.09271499503863E-4	2.31775164923445E-4	-4.57187002465851E-4	0.00118389641864955	4.75747783559485E-4	9.51008075444399E-4	9.93254091248305E-4	8.58111862037783E-4	9.42525760748774E-4	8.45992467033455E-4	0.0010758577619546
-0.808238428565661	-0.00235348220742729	-1.69719308550236E-4	2.39621167761659E-4	-4.29913887333162E-4	0.0011156415805119	4.9316784129083E-4	0.00100328528625699	9.84188054256044E-4	8.38299187547309E-4	9.43172744384654E-4	8.55914290800623E-4	0.00107293291076669
-0.806414115861546	-0.00241708983465505	-1.45718598250203E-4	2.57433714745712E-4	-3.8827956664751E-4	0.00100858711712337	5.09186285181722E-4	0.00105119088362184	9.79306342029442E-4	8.21897966942611E-4	9.47442836381456E-4	8.58928515742547E-4	0.00106330527560647
-0.804586780028585	-0.00250760838109456	-1.57963858607363E-4	2.8160788565264E-4	-3.48753312832019E-4	9.07423696312206E-4	5.37018331442146E-4	0.00108671024288475	9.82618932468922E-4	8.1218844434463E-4	9.57147590919644E-4	8.62570704214039E-4	0.00104734046287244
-0.802750929892096	-0.00259812692753408	-1.82454379321682E-4	3.12355734613207E-4	-3.09227059016528E-4	8.49528967534732E-4	5.74461444037106E-4	0.00110656465395992	9.97787109744436E-4	8.08514570929178E-4	9.71898817817689E-4	8.71738971745726E-4	0.00102637902935905
-0.800917554912446	-0.00263237718834903	-1.94699639678842E-4	3.48616990973599E-4	-2.69700805201036E-4	8.42622227961278E-4	6.05497179075709E-4	0.00110856831012347	0.00102132393655127	8.10613927166579E-4	9.86908838170086E-4	8.83795871513423E-4	0.00100115218786328
